場名,種別,距離,回り,天候,馬場,着順,枠番,馬番,馬名,性別,年齢,斤量,騎手,タイム,着差,通過,上り,単勝,人気,馬体重,増減
京都,,,,晴,良,1,7,13,アーバンシック,牡,3,57,ルメール,3:04.1,,8-8-5-3,35.6,3.7,2,510,0
京都,,,,晴,良,2,8,16,ヘデントール,牡,3,57,戸崎圭太,3:04.5,2.1/2,17-16-8-5,35.8,7.1,4,472,-8
京都,,,,晴,良,3,8,17,アドマイヤテラ,牡,3,57,武豊,3:04.5,ハナ,15-12-2-1,36.3,23.6,7,482,+4
京都,,,,晴,良,4,6,11,ショウナンラプンタ,牡,3,57,鮫島克駿,3:04.5,クビ,10-10-10-4,35.8,23.6,6,536,+6
京都,,,,晴,良,5,4,7,ビザンチンドリーム,牡,3,57,シュタル,3:04.6,クビ,12-15-14-10,35.4,41.5,9,456,-2
京都,,,,晴,良,6,2,4,ダノンデサイル,牡,3,57,横山典弘,3:04.8,1.1/2,8-9-14-15,35.5,2.9,1,522,+18
京都,,,,晴,良,7,6,12,シュバルツクーゲル,牡,3,57,松山弘平,3:06.0,7,4-4-1-2,37.8,99.1,14,486,-2
京都,,,,晴,良,8,3,5,ハヤテノフクノスケ,牡,3,57,岩田望来,3:06.3,1.1/2,12-12-14-14,37.1,120.2,15,516,0
京都,,,,晴,良,9,7,15,エコロヴァルツ,牡,3,57,岩田康誠,3:06.3,ハナ,6-6-11-13,37.2,68.3,12,488,+4
京都,,,,晴,良,10,8,18,アレグロブリランテ,牡,3,57,横山和生,3:07.1,5,12-12-17-16,37.1,291.1,18,466,0
京都,,,,晴,良,11,4,8,ウエストナウ,牡,3,57,西村淳也,3:07.2,3/4,7-6-8-8,38.2,55.2,11,488,-4
京都,,,,晴,良,12,3,6,ミスタージーティー,牡,3,57,坂井瑠星,3:07.3,1/2,4-4-5-10,38.5,79.5,13,474,+2
京都,,,,晴,良,13,7,14,メリオーレム,牡,3,57,藤岡佑介,3:08.0,4,10-10-11-8,38.9,51.5,10,488,+2
京都,,,,晴,良,14,5,9,コスモキュランダ,牡,3,57,Ｍ．デム,3:08.4,2.1/2,16-16-11-6,39.4,6.0,3,512,+8
京都,,,,晴,良,15,1,1,ピースワンデュック,牡,3,57,柴田善臣,3:09.1,4,1-1-2-6,40.4,26.2,8,452,-2
京都,,,,晴,良,16,5,10,メイショウタバル,牡,3,57,浜中俊,3:09.3,1.1/4,2-2-2-10,40.7,9.6,5,502,+6
京都,,,,晴,良,17,2,3,アスクカムオンモア,牡,3,57,北村友一,3:09.8,3,18-18-18-16,39.8,184.1,16,484,+2
京都,,,,晴,良,18,1,2,ノーブルスカイ,牡,3,57,池添謙一,3:19.7,大,3-2-5-16,50.5,253.6,17,464,-2
